frame_index,timestamp_ms,detected,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z
28,1166.667,True,-0.027953,-0.587308,-0.308162,0.068706,-0.596601,-0.199043,-0.085611,-0.558792,-0.191195,0.175626,-0.426839,-0.049566,-0.144457,-0.477319,-0.026946,0.273423,-0.220869,-0.119775,-0.224053,-0.169668,-0.114272,0.265767,-0.220244,-0.236177,-0.235008,-0.20789,-0.345395,0.104613,0.003032,0.042157,-0.100695,-0.011329,-0.041668
29,1208.333,True,-0.028867,-0.581748,-0.338918,0.067869,-0.588214,-0.228831,-0.086563,-0.549145,-0.214841,0.177491,-0.423603,-0.069254,-0.145848,-0.470584,-0.043932,0.27322,-0.221839,-0.109861,-0.223123,-0.168153,-0.122243,0.263069,-0.221439,-0.175702,-0.226097,-0.204704,-0.342291,0.104897,0.003636,0.040852,-0.101009,-0.011523,-0.040493
30,1250.0,True,-0.028597,-0.581999,-0.333539,0.067166,-0.588273,-0.223819,-0.086721,-0.54525,-0.211732,0.179681,-0.422832,-0.070399,-0.146052,-0.468638,-0.043477,0.276314,-0.221761,-0.109867,-0.22498,-0.16835,-0.123422,0.229662,-0.218186,-0.181169,-0.209572,-0.202162,-0.340293,0.104895,0.003653,0.03997,-0.101057,-0.011506,-0.039394
31,1291.667,True,-0.027523,-0.591363,-0.329935,0.066346,-0.595424,-0.222041,-0.087691,-0.549705,-0.207978,0.177776,-0.428732,-0.066882,-0.14594,-0.474577,-0.040512,0.275566,-0.233446,-0.100511,-0.224726,-0.188171,-0.105404,0.188413,-0.218673,-0.177653,-0.175937,-0.20863,-0.298258,0.104844,0.003262,0.040002,-0.101053,-0.011123,-0.03941
32,1333.333,True,-0.02758,-0.591241,-0.291106,0.060425,-0.595384,-0.184797,-0.088698,-0.550045,-0.179005,0.170271,-0.429199,-0.055544,-0.148129,-0.476492,-0.016265,0.267488,-0.238005,-0.090861,-0.223361,-0.192644,-0.097826,0.15127,-0.217992,-0.148955,-0.144279,-0.206898,-0.279778,0.104179,0.003069,0.039636,-0.100649,-0.010847,-0.03897
33,1375.0,True,-0.02538,-0.59173,-0.291176,0.059932,-0.596937,-0.185072,-0.087915,-0.550479,-0.179356,0.167998,-0.430167,-0.056526,-0.146281,-0.480797,-0.015916,0.254094,-0.240737,-0.091489,-0.215254,-0.206235,-0.09047,0.124136,-0.215991,-0.1538,-0.119504,-0.206322,-0.246222,0.102782,0.002921,0.039522,-0.099462,-0.010666,-0.038892
34,1416.667,True,-0.019516,-0.596688,-0.280965,0.062677,-0.602321,-0.175945,-0.081496,-0.556147,-0.172884,0.169079,-0.431512,-0.055233,-0.137125,-0.485286,-0.004415,0.24686,-0.241225,-0.09498,-0.199097,-0.210548,-0.068702,0.117586,-0.214138,-0.16075,-0.107074,-0.202683,-0.22687,0.102031,0.003134,0.039498,-0.098718,-0.011076,-0.038885
35,1458.333,True,-0.019572,-0.597915,-0.282771,0.06272,-0.603538,-0.176642,-0.080405,-0.557776,-0.173712,0.167661,-0.433437,-0.058892,-0.133796,-0.488571,-0.003927,0.239086,-0.245458,-0.096612,-0.190327,-0.214549,-0.063651,0.115615,-0.211118,-0.148801,-0.093874,-0.202686,-0.214191,0.100421,0.003257,0.037821,-0.097241,-0.011164,-0.03721
36,1500.0,True,-0.019594,-0.598793,-0.283148,0.062782,-0.604593,-0.176427,-0.080345,-0.559732,-0.172844,0.166801,-0.434496,-0.058403,-0.133297,-0.49038,-0.004042,0.23911,-0.249684,-0.097177,-0.19086,-0.214271,-0.064865,0.127363,-0.200229,-0.153291,-0.091088,-0.196405,-0.218512,0.100239,0.003309,0.03798,-0.097056,-0.011229,-0.037337
37,1541.667,True,-0.02155,-0.599101,-0.283551,0.062059,-0.604714,-0.177095,-0.080786,-0.561602,-0.172734,0.164823,-0.434398,-0.058205,-0.133625,-0.493169,-0.00422,0.22967,-0.248984,-0.097571,-0.192369,-0.219241,-0.065075,0.115806,-0.186637,-0.147146,-0.100587,-0.189752,-0.21801,0.099919,0.003377,0.03733,-0.096753,-0.011333,-0.036705
